,name,title,kill_order,mtype,mwep,gc,dm,gender
0,Barry,Friday the 13th,1,stab (gut),knife,No,No,0
1,Claudette,Friday the 13th,2,unknown,unknown,No,Yes,1
2,Annie Phillips,Friday the 13th,3,slash (throat),knife,No,No,1
3,Ned Rubinstein,Friday the 13th,4,slash (throat),unknown,No,No,0
4,Jack Burrell,Friday the 13th,5,stab (throat),arrow,Yes,No,0
5,Marcie Stanler,Friday the 13th,6,chop (head),axe,No,No,1
6,Steve Christy,Friday the 13th,7,stab (gut),unknown,No,No,0
7,Bill Brown,Friday the 13th,8,pincushion,arrow,No,No,0
8,Brenda Jones,Friday the 13th,9,unknown,unknown,No,No,1
9,Pamela Voorhees,Friday the 13th,10,decapitated,machete,No,No,1
10,Alice Hardy,Friday the 13th Pt. 2,1,stab (head),ice pick,No,No,1
11,Crazy Ralph,Friday the 13th Pt. 2,2,garrotted,barbed wire,No,No,0
12,Deputy Winslow,Friday the 13th Pt. 2,3,bludgeoned (head),hammer,No,No,0
13,Scott,Friday the 13th Pt. 2,4,slash (throat),machete,No,No,0
14,Mark,Friday the 13th Pt. 2,5,chop (head),machete,Yes,No,0
15,Jeff,Friday the 13th Pt. 2,6,stab (back),spear,No,No,0
16,Sandra,Friday the 13th Pt. 2,7,stab (gut),spear,No,No,1
17,Vicki,Friday the 13th Pt. 2,8,stab (gut),knife,No,No,1
18,Terry,Friday the 13th Pt. 2,9,unknown,unknown,No,Yes,1
19,Harold,Friday the 13th Pt. 3,1,chop (head),cleaver,No,No,0
20,Edna,Friday the 13th Pt. 3,2,stab (head),knitting needle,No,No,1
21,Fox,Friday the 13th Pt. 3,3,stab (neck),pitchfork,No,No,1
22,Loco,Friday the 13th Pt. 3,4,stab (gut),pitchfork,No,No,0
23,Vera,Friday the 13th Pt. 3,5,shot (eye),harpoon,No,No,1
24,Andy,Friday the 13th Pt. 3,6,chop (crotch),machete,No,No,0
25,Debbie,Friday the 13th Pt. 3,7,stab (back),machete,No,No,1
26,Shelly,Friday the 13th Pt. 3,8,slash (throat),unknown,No,No,0
27,Chuck,Friday the 13th Pt. 3,9,electrocuted,electricity,No,No,0
28,Chili,Friday the 13th Pt. 3,10,stab (gut),fire poker,No,No,1
29,Rick,Friday the 13th Pt. 3,11,head crushed,hands,Yes,Yes,0
30,Ali ,Friday the 13th Pt. 3,12,hacked,machete,No,No,0
31,Axel,Friday the 13th: The Final Chapter,1,slash (throat),bone saw,No,No,0
32,Morgan,Friday the 13th: The Final Chapter,2,stab (gut),scalpel,No,No,1
33,Unnamed,Friday the 13th: The Final Chapter,3,stab (throat),knife,No,No,1
34,Samantha,Friday the 13th: The Final Chapter,4,stab (gut),unknown,No,No,1
35,Paul,Friday the 13th: The Final Chapter,5,stab (crotch),harpoon,No,No,0
36,Terri,Friday the 13th: The Final Chapter,6,stab (back),spear,No,No,1
37,Mrs. Jarvis,Friday the 13th: The Final Chapter,7,unknown,unknown,No,Yes,1
38,Jimmy,Friday the 13th: The Final Chapter,8,chop (head),cleaver,No,No,0
39,Tina,Friday the 13th: The Final Chapter,9,thrown,gravity,No,No,1
40,Ted,Friday the 13th: The Final Chapter,10,stab (head),knife,No,No,0
41,Doug,Friday the 13th: The Final Chapter,11,head crushed,hands,No,No,0
42,Sarah,Friday the 13th: The Final Chapter,12,chop (chest),axe,No,No,1
43,Rob,Friday the 13th: The Final Chapter,13,unknown,unknown,No,No,0
44,Jason Voorhees,Friday the 13th: The Final Chapter,14,chop (head),machete,Yes,No,0
45,Neil,Friday the 13th: A New Beginning,1,stab (gut),machete,No,No,0
46,Les,Friday the 13th: A New Beginning,2,stab (neck),screw driver,No,No,0
47,Joey,Friday the 13th: A New Beginning,3,chop (back),axe,No,No,0
48,Vinnie,Friday the 13th: A New Beginning,4,burns,flare,No,No,0
49,Pete,Friday the 13th: A New Beginning,5,slash (throat),unknown,No,No,0
50,Billy,Friday the 13th: A New Beginning,6,chop (head),axe,No,No,0
51,Lana,Friday the 13th: A New Beginning,7,chop (gut),axe,No,No,1
52,Raymond,Friday the 13th: A New Beginning,8,stab (gut),knife,No,No,0
53,Tia,Friday the 13th: A New Beginning,9,stab (head),shears,No,No,1
54,Eddie,Friday the 13th: A New Beginning,10,head crushed,belt,Yes,No,0
55,Anita,Friday the 13th: A New Beginning,11,slash (throat),unknown,No,No,1
56,Demon,Friday the 13th: A New Beginning,12,stab (back),spike,No,No,0
57,Junior,Friday the 13th: A New Beginning,13,decapitated,cleaver,No,No,0
58,Ethel,Friday the 13th: A New Beginning,14,chop (head),cleaver,No,No,1
59,Jake,Friday the 13th: A New Beginning,15,chop (head),cleaver,No,No,0
60,Robin,Friday the 13th: A New Beginning,16,stab (back),machete,No,No,1
61,Violet,Friday the 13th: A New Beginning,17,stab (gut),machete,No,Yes,1
62,Duke,Friday the 13th: A New Beginning,18,slash (throat),unknown,No,No,0
63,Matthew Letter,Friday the 13th: A New Beginning,19,stab (head),piton,No,No,0
64,George,Friday the 13th: A New Beginning,20,eyes gouged,unknown,No,No,0
65,Roy Burns,Friday the 13th: A New Beginning,21,falling (spikes),spike,No,No,0
66,Pam,Friday the 13th: A New Beginning,22,stab (gut),machete,No,No,1
67,Allen Hawes,Friday the 13th: Jason Lives,1,stab (chest),hands,No,No,0
68,Darren,Friday the 13th: Jason Lives,2,stab (gut),spear,No,No,0
69,Lizbeth,Friday the 13th: Jason Lives,3,drowned,water,No,No,1
70,Burt,Friday the 13th: Jason Lives,4,head crushed,tree,No,No,0
71,Stan,Friday the 13th: Jason Lives,5,decapitated,machete,No,No,0
72,Katie,Friday the 13th: Jason Lives,6,decapitated,machete,No,No,1
73,Larry,Friday the 13th: Jason Lives,7,decapitated,machete,No,No,0
74,Martin,Friday the 13th: Jason Lives,8,stab (throat),bottle,No,No,0
75,Steven,Friday the 13th: Jason Lives,9,stab (gut),machete,No,No,0
76,Annette,Friday the 13th: Jason Lives,10,stab (gut),machete,No,No,1
77,Nikki,Friday the 13th: Jason Lives,11,head crushed,hands,No,No,1
78,Cort,Friday the 13th: Jason Lives,12,stab (head),knife,No,No,0
79,Roy,Friday the 13th: Jason Lives,13,dismembered,machete,No,No,0
80,Sissy,Friday the 13th: Jason Lives,14,head twist,hands,Yes,No,1
81,Paula,Friday the 13th: Jason Lives,15,unknown,unknown,No,Yes,1
82,Thornton,Friday the 13th: Jason Lives,16,stab (head),knife,No,No,0
