,title,date,rt_score,kc,length,kpm,pop_cat
0,Friday the 13th,05/09/1980,0.64,10,95,0.10526315789473684,medium
1,Friday the 13th Pt. 2,04/30/1981,0.27,9,87,0.10344827586206896,low
2,Friday the 13th Pt. 3,08/13/1982,0.11,12,95,0.12631578947368421,low
3,Friday the 13th: The Final Chapter,04/13/1984,0.23,14,91,0.15384615384615385,low
4,Friday the 13th: A New Beginning,03/22/1985,0.18,22,90,0.24444444444444444,low
5,Friday the 13th: Jason Lives,08/01/1986,0.5,18,85,0.21176470588235294,medium
6,Friday the 13th: The New Blood,05/13/1988,0.35,16,85,0.18823529411764706,medium
7,Friday the 13th: Jason Takes Manhatton,07/28/1989,0.08,20,100,0.2,low
8,Jason Goes To Hell: The Final Friday,08/13/1993,0.2,24,90,0.26666666666666666,low
9,Jason X,04/26/2002,0.2,25,91,0.27472527472527475,low
10,Freddy vs. Jason,08/13/2003,0.41,22,97,0.2268041237113402,medium
11,Friday the 13th (2009 Reboot),02/13/2009,0.26,14,105,0.13333333333333333,low
12,Scream,12/20/1996,0.79,7,111,0.06306306306306306,high
13,Scream 2,12/12/1997,0.81,10,120,0.08333333333333333,high
14,Scream 3,02/04/2000,0.4,10,116,0.08620689655172414,medium
15,Scream 4,04/15/2011,0.6,15,110,0.13636363636363635,medium
16,The Thing,06/25/1985,0.85,12,108,0.1111111111111111,high
17,The Thing (2011 Remake),10/10/2011,0.34,13,102,0.12745098039215685,medium
18,Night of the Living Dead,10/01/1968,0.97,8,96,0.08333333333333333,high
19,Get Out,02/24/2017,0.98,7,104,0.0673076923076923,high
20,Child's Play,11/09/1988,0.71,6,87,0.06896551724137931,high
21,Child's Play 2,11/09/1990,0.44,8,83,0.0963855421686747,medium
22,Child's Play 3,08/30/1991,0.29,8,89,0.0898876404494382,low
23,Stephen King's It,11/18/1990,0.67,9,187,0.0481283422459893,medium
24,Bride of Chucky,10/16/1998,0.46,14,88,0.1590909090909091,medium
25,Seed of Chucky,11/12/2004,0.34,14,86,0.16279069767441862,medium
26,Curse of Chucky,08/02/2013,0.76,10,96,0.10416666666666667,high
27,Cult of Chucky,10/20/2017,0.79,9,91,0.0989010989010989,high
28,You're Next,08/23/2013,0.79,15,94,0.1595744680851064,high
29,The Mist,11/21/2007,0.71,34,126,0.2698412698412698,high
30,Trick r' Treat,10/04/2009,0.83,27,82,0.32926829268292684,high
31,Alien,05/25/1979,0.98,6,117,0.05128205128205128,high
32,Aliens,07/18/1986,0.97,15,137,0.10948905109489052,high
33,Alien 3,05/22/1992,0.44,29,115,0.25217391304347825,medium
34,ThanksKilling,12/08/2008,0.42,10,67,0.14925373134328357,medium
35,Alien Resurrection,11/26/1997,0.54,30,109,0.27522935779816515,medium
36,Black Christmas,12/20/1974,0.71,7,98,0.07142857142857142,high
37,Black Christmas (2006 Remake),12/25/2006,0.16,27,92,0.29347826086956524,low
38,New Year's Evil,12/19/1980,0.14,6,86,0.06976744186046512,low
39,Killer Clowns From Outer Space,05/27/1988,0.75,40,86,0.46511627906976744,high
40,IT (2017),09/05/2017,0.86,3,135,0.022222222222222223,high
41,A Nightmare on Elm Street,11/16/1984,0.94,4,91,0.04395604395604396,high
42,A Nightmare on Elm Street 2: Freddy's Revenge,11/01/1985,0.43,10,86,0.11627906976744186,medium
43,A Nightmare on Elm Street 3: Dream Warriors,02/27/1987,0.72,6,96,0.0625,high
44,A Nightmare on Elm Street 4: The Dream Master,08/19/1988,0.53,7,93,0.07526881720430108,medium
45,A Nightmare on Elm Street 5: The Dream Child,08/11/1989,0.31,3,90,0.03333333333333333,medium
46,Freddy's Dead: The Final Nightmare,09/13/1991,0.19,6,89,0.06741573033707865,low
47,My Bloody Valentine (1981),02/11/1981,0.56,16,93,0.17204301075268819,medium
48,My Bloody Valentine 3D (2009),01/16/2009,0.61,30,101,0.297029702970297,medium
